epoch	train_loss	val_loss	val_psnr	val_ssim
1	0.460075	0.480456	11.8697	0.6039
2	0.300619	0.254727	16.9111	0.7795
3	0.224303	0.171022	19.5925	0.8642
4	0.171765	0.116246	22.7683	0.9175
5	0.145336	0.109388	22.8604	0.9265
6	0.131945	0.101663	23.2514	0.9259
7	0.118994	0.103422	23.4782	0.9299
8	0.108823	0.107014	22.4858	0.9243
9	0.097235	0.087620	23.5422	0.9321
10	0.098636	0.101272	20.5956	0.9130
11	0.092594	0.089325	24.3809	0.9390
12	0.085816	0.099620	23.2075	0.9373
13	0.094474	0.101627	21.3055	0.9236
14	0.088363	0.082248	24.5657	0.9425
15	0.078049	0.085134	24.3418	0.9452
16	0.076281	0.082233	24.0850	0.9412
17	0.083421	0.100915	22.7122	0.9287
18	0.080865	0.080969	24.6408	0.9502
19	0.076259	0.082262	24.2962	0.9503
20	0.072291	0.084196	24.2828	0.9487
