epoch	train_loss	val_loss	val_psnr	val_ssim
1	0.533660	0.555905	10.6108	0.5942
2	0.383473	0.286387	15.9412	0.7051
3	0.293770	0.211701	18.2501	0.8157
4	0.243177	0.185384	18.5160	0.8834
5	0.213535	0.150394	20.3808	0.9064
6	0.187334	0.145454	19.9896	0.9181
7	0.161606	0.124617	22.0213	0.9257
8	0.140805	0.112936	22.1079	0.9313
9	0.127525	0.106561	22.5461	0.9345
10	0.117688	0.102088	21.8937	0.9343
11	0.106917	0.088027	24.5423	0.9417
12	0.098994	0.087738	24.9903	0.9464
13	0.094761	0.078708	25.6119	0.9498
14	0.086582	0.080815	23.7130	0.9496
15	0.083673	0.082253	25.1707	0.9484
16	0.081226	0.079308	25.4205	0.9479
17	0.077215	0.085390	22.6908	0.9509
18	0.080536	0.077643	25.6520	0.9519
19	0.072101	0.084295	24.0730	0.9563
20	0.071149	0.074586	25.7951	0.9533
21	0.067144	0.073684	25.6024	0.9560
22	0.068582	0.075892	25.4942	0.9576
23	0.066125	0.074649	25.8221	0.9532
24	0.065595	0.078908	25.4560	0.9515
25	0.064447	0.074283	25.7663	0.9555
26	0.064258	0.078111	25.1666	0.9571
27	0.064095	0.077004	25.4425	0.9554
28	0.064805	0.078823	25.5873	0.9549
29	0.064935	0.076111	25.1718	0.9583
30	0.064135	0.079328	25.5999	0.9536
31	0.064063	0.079547	25.0606	0.9562
32	0.058359	0.079682	25.1365	0.9578
33	0.060690	0.086422	24.8027	0.9511
34	0.061012	0.076599	25.3145	0.9566
35	0.059122	0.078073	25.4823	0.9547
36	0.058992	0.101803	19.4116	0.9430
37	0.075099	0.082081	23.8874	0.9557
38	0.067997	0.082012	25.2840	0.9539
39	0.062644	0.080069	25.4161	0.9541
40	0.059184	0.080129	25.4109	0.9538
